"alpha_0","alpha_7","alpha_14","alpha_21","alpha_28","alpha_35","alpha_42","alpha_49","alpha_56","alpha_63","alpha_70","alpha_77","alpha_84","alpha_91","alpha_98","alpha_105","alpha_112","alpha_119","elu_0","elu_30","elu_60","elu_90","elu_120","elu_150","elu_180","elu_210","elu_240","elu_270","elu_300","elu_330","elu_360","elu_390","cdc15_10","cdc15_30","cdc15_50","cdc15_70","cdc15_90","cdc15_110","cdc15_130","cdc15_150","cdc15_170","cdc15_190","cdc15_210","cdc15_230","cdc15_250","cdc15_270","cdc15_290","spo_0","spo_2","spo_5","spo_7","spo_9","spo_11","spo5_2","spo5_7","spo5_11","spo__early","spo__mid","heat_0","heat_10","heat_20","heat_40","heat_80","heat_160","dtt_15","dtt_30","dtt_60","dtt_120","cold_0","cold_20","cold_40","cold_160","diau_540","diau_660","diau_780","diau_900","diau_1020","diau_1140","diau_1260","class"
-0.38,2.85,-0.45,-0.23,-0.03,0.29,0.01,0.1,0.03,-0.23,-0.3,-0.49,-0.06,-0.22,-0.1,0.08,0.04,-0.14,0.07,-0.18,0.1,0.15,-0.34,-0.14,-0.1,-0.32,-0.36,-0.42,-0.12,-0.3,-0.23,-0.2,-0.51,-0.6,0.14,-0.07,-0.27,-0.47,-0.64,-0.58,-0.29,-0.42,-0.36,-0.51,-0.4,-0.79,-0.45,-0.4,-0.06,-0.15,1,0.85,-0.18,-0.32,0.81,0.53,0.42,0.01,0.19,-0.23,0.43,-0.51,0.15,0.18,-0.34,-0.43,-0.4,-0.25,-0.14,0.89,0.21,-0.17,-1.12,0.15,0.51,-0.01,-0.58,0.7,0.07,GO0003674@GO0005575@GO0007047
-0.04,-0.09,0.01,0.2,0.1,0.18,0.16,0.29,-0.17,-0.22,-0.18,-0.15,0.03,-0.22,-0.14,-0.34,-1.6,-0.17,-0.01,-0.23,-0.15,0.26,0.28,-0.12,0.03,-0.29,-0.42,-0.56,0.03,-0.4,-0.2,-0.47,-0.43,-0.09,0.03,-0.36,-0.4,-0.36,-0.23,0.49,-0.12,-0.4,-0.3,0.01,-0.34,-0.25,-0.03,-0.25,0.42,-0.07,0.2,-0.3,-0.34,0.32,-0.32,-0.36,0.32,,0.03,-0.3,-0.42,-0.89,-0.2,0.14,-0.12,0.31,-0.56,-0.34,-0.27,0.15,-0.3,-0.79,0.08,0.18,0.45,0.14,0.19,0.61,0.08,GO0003674@GO0005789@GO0006461@GO0007035
-0.56,-0.36,-0.3,-0.2,-0.36,0.11,-0.56,-0.23,-0.01,-0.01,-0.27,0.11,-0.29,-0.47,-0.49,-0.14,-0.14,-0.32,-0.01,0.06,0.12,-0.18,-0.03,0.32,0.15,0.14,0.06,0.21,0.08,-0.17,-0.18,0.26,0.14,0.03,0.07,-0.15,-0.03,-0.06,-0.18,-0.04,-0.17,0.04,0.1,0.28,-0.06,-0.36,,-0.06,0.04,-0.3,0.14,-0.32,0.56,-0.47,-0.29,-0.03,0.12,0.21,0.11,-0.64,-0.17,-0.17,-0.3,0.26,-0.45,-0.14,-0.38,0.18,-0.01,0.01,-0.1,-0.04,-0.38,-0.62,0.08,-0.51,-0.89,0.36,0.1,GO0003700@GO0005634@GO0000316@GO0045944
-0.45,-0.32,-0.43,-0.04,-0.4,-0.03,-0.43,-0.09,0.11,0.12,0.36,-0.01,-0.18,-0.18,-0.34,0.06,-0.23,0.16,0.44,0.01,0.01,-0.97,-0.2,0.1,0.25,0.21,,0.18,0.25,-0.09,-0.2,-0.15,0.08,0.1,-0.12,-1.47,-0.32,-0.32,-0.3,-0.2,-0.1,-0.22,-0.36,0.23,-0.29,-0.3,-0.4,0.14,-0.29,-0.23,-0.07,0.1,-0.04,-0.18,0.28,-0.22,-0.14,-0.03,-0.38,-0.84,-0.4,-0.38,-0.43,-0.09,0.04,-0.3,-0.01,-0.2,-0.56,-0.34,-0.14,-0.34,-0.36,-0.47,0.52,-0.34,-0.64,0.1,-0.4,GO0005525@GO0005047@GO0005785@GO0005789@GO0006614
0.15,-0.25,-0.58,-0.42,-0.49,-0.4,-0.17,0.16,-0.4,-0.1,-0.94,-0.03,-0.22,-0.06,-0.42,0.2,0.08,0.41,0.12,-0.09,-0.01,-0.58,-0.36,0.23,0.63,-0.09,-0.23,-0.4,0.2,0.03,-0.47,-0.06,0.08,-0.1,-0.34,-0.07,-0.49,-0.6,-0.54,0.71,1.28,-1.36,-0.3,-0.1,-0.71,0.21,-0.97,-0.29,-0.38,,-0.42,-0.34,0.3,-0.09,0.38,0.73,0.08,0.01,0.72,-0.43,-0.14,-0.71,-0.67,-0.4,0.03,0.55,0.15,-0.32,-0.62,0.26,0.16,-0.36,-0.03,,0.51,-0.23,-0.62,0.86,0.64,GO0003674@GO0005739@GO0006412
-0.29,-0.14,-0.3,-0.34,-0.86,0.14,-0.22,0.2,0.08,0.32,,-0.27,-0.25,-0.34,-0.94,-0.01,-0.17,0.07,0.49,0.1,0.33,-1.03,-0.06,-0.14,0.16,-0.23,-0.3,0.04,0.03,-0.06,-0.22,-0.01,-0.67,-0.69,-0.49,-0.25,-0.17,-0.2,-0.42,-0.34,-0.47,-0.2,-0.18,-0.27,-0.42,-0.47,-0.4,0.15,0.37,-0.07,0.69,0.45,0.61,0.25,0.49,0.25,0.54,0.7,1.24,0.07,0.01,-0.32,-0.54,0.06,0.24,0.18,-0.07,0.06,-0.71,0.31,-0.32,-0.06,-0.51,-0.23,-0.03,-0.58,-0.71,0.74,,GO0016251@GO0000112@GO0005675@GO0006289@GO0000717@GO0006367@GO0007070
-0.42,-0.47,-0.34,-0.97,-0.32,-0.67,-0.27,0.08,-0.36,0.14,-0.42,0.04,-0.03,-0.3,-0.97,0.3,-0.1,-0.01,-0.25,-0.04,-0.12,-0.15,-0.3,-0.34,0.07,0.14,0.01,-0.25,-0.49,0.63,-0.4,-0.27,0.37,0.38,0.14,-0.27,-0.62,-0.32,0.1,0.01,-0.12,,-0.42,0.85,-0.14,-0.18,-0.17,-0.09,-0.56,-1,-0.69,-0.32,0.07,0.33,0.4,0.9,-0.18,-0.47,1.4,-0.89,-0.23,-1.06,-0.43,-0.74,0.38,0.16,0.11,0.48,-0.58,,-0.32,-0.45,-0.22,0.3,-0.07,-0.29,-0.38,0.1,-0.23,GO0016455@GO0000119@GO0005634@GO0006366
-0.69,0.14,-0.29,-0.47,-0.32,-0.01,-0.32,-0.32,0.07,-0.07,0.06,-0.14,0.04,-0.25,-0.49,0.08,-0.17,0.14,-0.38,0.06,0.03,0.2,-0.22,-0.25,-0.09,-0.54,-0.3,-0.62,-0.04,-0.36,-0.84,0.01,-0.18,0.12,-0.06,-0.14,-0.29,-0.38,-0.36,-0.32,0.43,0.24,-0.18,0.56,-0.23,-0.34,-0.36,0.42,-0.64,-0.04,0.56,0.45,0.19,-0.49,0.54,0.57,-0.84,-0.3,1.74,-0.58,0.07,-0.17,-0.42,0.99,0.16,-0.49,-0.64,-0.58,-0.4,0.32,0.08,-0.36,-0.14,0.4,-0.06,-0.25,-0.58,-0.2,-0.45,GO0003723@GO0005686@GO0000398
-0.01,-0.32,0.14,-0.3,0.11,-0.2,0.18,0.3,0.04,-0.09,-0.17,0.08,-0.01,0.01,-0.2,0.33,-0.23,0.12,-0.47,-0.22,-0.23,-0.47,-0.17,-0.1,-0.29,-0.42,-0.2,-0.3,-0.38,-0.25,-0.23,-0.36,,-0.17,-0.09,-0.45,-1.03,-0.25,-0.42,0.88,0.85,-1,-0.23,0.68,-1.56,-0.2,-1,-0.06,-0.27,-0.2,-0.15,-0.25,0.01,-0.36,0.03,-0.18,0.39,0.23,0.56,-0.56,0.14,-0.17,-0.51,0.32,-0.15,-0.32,-0.3,-0.29,0.08,0.58,-0.32,0.24,-0.3,0.29,-0.3,-0.43,-0.6,-0.18,-0.22,GO0008565@GO0005758@GO0042721@GO0005739@GO0045039
0.18,-0.32,0.06,-0.45,-0.01,-0.09,0.3,0.23,0.08,0.03,-0.17,-0.17,,-0.04,0.04,-0.23,0.14,-0.32,0.11,-0.2,-0.36,-0.03,0.23,-0.09,0.1,-0.3,-0.29,-0.49,-0.29,-0.56,-0.69,-0.47,0.15,0.31,0.32,-0.22,-0.29,0.3,-0.22,-0.15,-0.18,-0.22,-0.38,0.42,-0.09,-0.23,-0.01,-0.51,-0.03,0.39,0.7,0.69,-0.09,-0.58,0.24,-0.4,0.12,0.45,0.15,-0.56,0.01,0.39,-0.27,1.88,-0.4,-0.32,-0.6,-0.18,-0.47,0.3,0.1,-0.14,-0.23,0.03,-0.09,-0.36,-0.22,-0.25,-0.14,GO0016455@GO0016592@GO0006366@GO0000723
-0.38,-0.01,-0.32,-0.18,,0.14,-0.01,-0.2,-0.15,-0.04,-0.67,-0.03,-0.29,-0.29,-0.29,-0.18,-0.07,-0.2,0.11,-0.09,-0.09,0.25,0.2,-0.03,,-0.25,-0.36,-0.15,0.2,-0.43,-0.38,-0.1,0.34,0.68,0.36,-0.42,-0.4,0.12,-0.45,0.57,1.47,-0.47,-0.29,0.31,0.07,-0.32,0.12,-0.22,0.11,-0.06,-0.01,0.14,0.15,0.25,0.07,-0.42,0.18,0.1,0.16,0.07,-0.15,-0.27,-0.54,2.06,0.03,0.6,-0.22,-0.07,-0.29,0.83,-0.04,0.19,-0.06,-0.14,0.1,-0.1,-0.27,0.11,-0.3,GO0003674@GO0005681@GO0000398
-0.07,-0.22,0.21,0.19,0.4,0.04,-0.32,0.19,0.4,-0.27,0.98,0.11,0.1,0.03,0.43,0.57,-0.32,,-0.27,-0.1,,0.2,0.15,-0.14,-0.18,0.14,-0.01,0.06,-0.2,-0.09,0.11,-0.1,-0.09,-0.09,-0.15,-0.18,-0.25,-0.15,-0.15,-0.1,-0.22,-0.32,-0.22,-0.32,-0.32,-0.58,-0.4,0.23,-0.22,-0.29,-0.54,-0.27,-0.54,-0.43,-0.36,-0.07,0.2,-0.56,0.21,0.21,0.2,0.51,0.2,-0.43,-0.01,-0.45,0.04,-0.15,-0.09,1.21,-0.49,-0.2,-0.43,-0.07,0.39,-0.2,-0.45,0.19,-0.04,GO0016439@GO0005575@GO0006400
-0.56,-0.43,-0.43,-0.18,-0.12,-0.03,-0.09,-0.51,-0.23,-0.23,-0.25,-0.4,-0.04,-0.32,-0.07,-0.3,-0.54,-0.43,-0.43,-0.27,0.24,0.21,-0.32,0.2,0.21,0.19,-0.01,0.01,0.23,0.15,-0.09,-0.03,-0.64,-0.56,-0.51,-0.09,-0.27,-0.29,-0.12,-0.01,0.41,-0.2,-0.3,0.24,-0.47,-0.49,-0.4,,0.32,-0.06,-0.27,-0.15,0.5,0.04,-0.43,0.07,0.54,-0.38,-0.47,-0.17,-0.04,-0.76,-0.34,-0.23,0.19,-0.74,-0.38,-0.58,-0.67,1.41,-0.92,-0.81,0.08,0.01,0.42,0.24,0.24,-0.22,-0.81,GO0050291@GO0005783@GO0046513@GO0001302
-0.29,-0.51,-0.17,-0.81,-0.17,-0.2,0.15,,-0.06,-0.22,-0.14,-0.51,-0.27,-0.76,-0.23,-0.18,0.16,,0.31,0.03,-0.58,-0.4,-0.17,-0.01,-0.43,0.08,,-0.17,-0.18,-0.03,-0.03,-0.29,-0.04,-0.12,-0.07,-0.62,-0.6,-0.32,0.28,0.75,-0.36,-1.22,-0.56,,-0.56,-0.07,-0.36,-0.43,-0.03,-0.2,-0.27,-0.23,-0.38,,0.08,-0.22,-0.29,-1.03,0.31,-0.34,0.49,0.82,-0.22,0.21,0.08,0.16,-0.27,,0.18,0.28,,0.2,-0.32,-0.38,-0.15,-0.22,-0.12,0.65,-0.15,GO0003674@GO0005792@GO0006904@GO0030437
0.63,1.38,0.3,0.56,-0.03,0.19,-0.22,0.21,-0.1,-0.32,-0.06,-0.06,-0.03,-0.29,-0.17,-0.1,-0.2,-0.42,0.7,-0.15,-0.2,-0.18,-0.27,-0.3,-0.17,-0.34,-0.76,-0.69,-0.15,-1,-0.64,-0.43,0.2,0.28,0.57,-1.51,-1.12,-0.79,-1.29,0.33,-2,-1.74,-0.89,-0.27,-2.74,0.21,0.23,-0.04,-0.45,-0.4,-0.64,-0.51,-0.74,-0.17,-0.17,0.12,-0.43,-0.67,0.16,-0.06,-0.01,-0.43,-0.97,0.5,-0.22,0.42,0.31,-0.04,0.12,0.67,1.43,1.11,-0.3,-0.2,-0.2,-0.2,-0.27,0.12,-0.29,GO0005515@GO0000813@GO0005768@GO0043162@GO0006612@GO0006623
-0.12,1.24,0.04,-0.23,-0.04,-0.47,-0.09,-0.49,-0.45,-0.14,0.1,-0.2,0.33,-0.6,-0.03,-0.76,-0.22,-0.34,-0.1,-0.51,0.08,,-0.01,-0.47,-0.15,-0.18,-0.18,-0.27,-0.43,-0.3,-1.36,-0.29,0.04,-0.23,-0.49,-0.62,-0.86,-0.92,-0.18,0.12,-0.3,-0.89,-0.62,-1.25,-0.43,-0.3,-0.54,-0.17,-0.43,-0.18,-0.03,-0.03,0.04,-0.15,-0.1,-0.12,-0.14,0.1,0.25,0.54,0.37,0.76,0.19,0.42,0.04,0.32,0.7,0.66,0.21,0.58,0.73,0.86,-0.12,-0.23,-0.18,-0.17,-0.15,0.11,-0.01,GO0003674@GO0005783@GO0006644
1.72,1.2,1.12,0.26,0.08,-0.23,-0.03,-0.17,-0.18,0.24,-0.27,0.56,-0.09,-0.69,-0.03,0.07,0.31,0.77,1.14,-0.32,-0.23,-0.34,0.01,-0.07,-0.81,-0.04,-0.14,-0.22,-0.07,-0.09,0.07,-0.15,0.28,0.08,-0.64,0.15,-0.81,-1.03,-0.97,0.86,0.03,-1.74,-1.03,-0.6,-1.56,-0.89,-2,-0.3,-0.25,-0.42,-0.17,-0.27,-0.32,0.38,-0.12,-0.22,-0.09,,-0.22,0.37,0.14,-0.84,-0.54,-0.01,0.4,0.53,0.04,0.49,-0.17,0.18,0.08,-0.25,-0.06,-0.2,-0.14,-0.27,-0.2,-0.58,-0.67,GO0008092@GO0030479@GO0005937@GO0045121@GO0007121@GO0006897@GO0006970
-0.2,-0.34,0.08,-0.15,0.2,-0.23,0.18,0.43,0.06,0.1,0.07,0.18,0.06,-0.14,-0.06,0.03,0.03,0.2,-0.07,-0.58,-0.12,-0.23,-0.18,-0.34,-0.47,-0.27,-0.04,0.07,-0.32,-0.04,-0.34,-0.09,-0.79,-0.56,-0.22,-4.06,-4.64,-3.47,-3.47,-0.23,-0.22,-2.56,-3.32,-0.3,-0.4,-0.47,-0.4,-0.06,-0.25,-0.86,-1.15,-0.14,-1.36,0.33,-0.58,-1.12,0.23,-0.09,-0.22,0.11,0.04,-0.42,0.14,1.15,-0.15,-0.84,-0.09,-0.06,-0.15,-0.42,-0.3,-1,-0.23,-0.1,0.59,-0.2,-0.49,0.26,-0.27,GO0019187@GO0005783@GO0016021@GO0006490@GO0006487
-0.45,-0.64,1.01,1.14,0.45,-0.4,-0.64,0.15,-1.09,0.44,0.04,0.28,0.32,0.03,-0.54,-0.12,-0.6,-0.3,-0.79,-1.29,-0.49,0.06,0.59,0.51,0.4,0.16,-0.07,0.11,-0.4,-0.67,-0.79,-0.43,-0.94,0.58,0.38,-2.56,-3.18,-2.74,-4.64,0.36,0.32,-2.74,-3.47,-1.25,-0.67,-0.62,-0.89,0.01,1.01,1.13,1.49,0.45,0.38,0.46,-0.09,-0.74,2.35,1.83,-0.2,-1.12,-0.79,0.37,-0.14,-0.2,-0.62,-0.42,-0.84,-0.34,-0.4,0.07,-0.23,-0.74,-0.49,-0.49,0.21,-0.51,-0.67,0.21,-0.54,GO0003889@GO0005635@GO0005658@GO0005634@GO0006270@GO0006273@GO0016233
-0.36,0.14,-0.45,,-0.45,0.52,-0.29,0.04,-0.07,0.46,0.12,0.06,-0.18,0.1,-0.01,0.38,,0.34,0.48,0.45,0.41,0.44,0.6,0.77,0.64,0.65,0.38,0.4,0.46,0.42,0.32,0.36,-0.25,-0.12,0.16,,-0.47,-0.56,-0.25,-0.14,,0.11,-0.34,0.62,-0.29,-0.3,-0.3,0.32,-0.3,-0.14,-0.51,-0.43,-0.54,-0.2,-0.25,-0.04,0.14,0.44,0.28,0.25,0.42,0.43,0.25,0.14,0.11,-0.18,-0.1,0.07,0.49,0.04,,-0.03,0.18,0.59,0.01,-0.17,-0.3,-0.09,-0.17,GO0016251@GO0016514@GO0006302@GO0006338
-1.18,-0.89,-1.12,-0.25,-0.27,0.23,-0.03,-0.3,-0.56,-0.34,-0.84,-0.29,-0.32,-0.06,-0.17,-0.34,-0.17,-0.34,0.23,-0.45,0.23,0.1,,0.18,0.21,0.23,0.19,0.49,0.36,-0.01,0.04,,-0.38,-0.6,-0.12,0.58,0.14,-0.12,-0.3,0.07,0.38,0.31,-0.25,0.08,-0.56,-0.67,-0.6,-0.14,-0.34,-0.29,,-0.15,0.25,-0.45,-0.01,0.23,0.85,0.82,0.15,0.2,-0.15,-0.2,0.1,,-0.54,-0.62,-0.2,-0.47,0.36,0.21,0.53,1.32,0.29,0.04,0.59,-0.04,-0.32,-0.06,-0.45,GO0003723@GO0005737@GO0001403@GO0007124@GO0051220@GO0008361
-0.38,-0.4,-0.62,-0.3,-0.4,0.12,0.03,-0.17,0.07,0.01,-0.07,-0.07,-0.18,-0.32,-0.15,-0.01,-0.62,-0.06,-1.09,0.32,0.55,0.26,0.34,0.5,0.19,0.12,0.19,0.18,0.11,-0.2,0.07,0.41,-0.32,-0.38,-0.32,0.12,0.3,0.33,0.1,0.08,0.08,0.06,-0.14,-0.01,-0.58,-0.6,-0.38,-0.1,0.7,0.53,-0.03,-0.09,0.57,0.21,-1.12,-0.22,0.34,0.67,0.18,-1.09,-0.64,0.1,0.12,0.04,-0.2,-0.47,-0.03,0.08,0.97,0.36,-1.09,1.05,0.3,0.29,0.3,-0.6,-0.51,-0.47,-0.81,GO0000250@GO0005783@GO0005886@GO0005811@GO0006696
-0.43,-0.94,-1.12,-0.94,-0.43,0.03,0.41,0.28,0.07,0.21,-1.06,-0.18,-0.23,-0.01,-0.36,0.23,-0.07,0.16,-1.22,-0.01,0.16,0.07,-0.2,-0.15,0.18,0.23,0.12,0.06,0.24,0.25,-0.36,0.16,0.04,0.28,0.28,1.66,-0.09,-1,-0.12,0.65,0.7,,-0.69,0.38,-0.51,-0.2,-0.64,0.12,0.11,0.4,0.03,-0.03,-0.22,-0.45,-0.54,-0.23,0.77,0.69,1.11,-1.15,-0.36,-0.03,-0.06,0.18,0.01,-1.47,-0.32,-0.58,0.32,0.23,-0.06,0.06,-0.56,-0.04,0.48,-0.22,-0.47,,0.18,GO0003674@GO0019898@GO0006612
1.19,0.57,0.15,0.5,0.19,-0.12,0.19,0.39,-0.14,-0.03,0.26,0.84,0.48,0.51,0.2,0.91,-0.07,0.06,-0.67,-0.54,,-0.01,0.31,0.32,0.43,-0.01,0.11,0.36,0.31,0.36,-0.94,-0.22,,0.11,-0.09,-0.14,-0.81,0.49,-1.79,0.65,0.49,,-0.4,0.03,-0.79,-0.2,-1,0.26,0.11,0.46,0.53,0.46,0.48,-0.04,0.2,-0.17,0.15,0.62,0.06,-0.3,-0.29,0.45,0.1,-0.79,-0.64,-0.67,-0.04,0.11,0.28,-0.07,0.04,0.23,0.21,0.51,0.25,-0.07,-0.34,-0.89,0.23,GO0004100@GO0045009@GO0005628@GO0005935@GO0000131@GO0005737@GO0006038@GO0030476@GO0000910
0.04,-0.01,0.15,-0.12,-0.1,0.14,-0.04,0.06,-0.14,-0.25,-0.04,-0.29,-0.1,-0.62,-0.15,-0.15,0.14,-0.3,0.82,-0.12,0.11,0.36,0.12,-0.17,-0.09,-0.15,-0.49,-0.36,-0.06,-0.17,-0.36,-0.23,0.2,0.18,0.25,0.34,0.28,0.4,0.4,0.31,0.4,0.36,0.19,-0.97,0.36,0.26,0.25,-0.3,-0.62,-0.47,-0.67,-0.34,-0.56,-0.62,-0.23,0.03,-0.14,-0.22,-0.07,-0.01,-0.14,0.39,-0.14,0.2,0.01,-0.27,-0.12,-0.49,-0.12,0.2,0.48,-0.06,,0.25,-0.15,-0.2,-0.18,0.75,-0.23,GO0003702@GO0005634@GO0005737@GO0046685@GO0045944
-0.3,-0.09,-0.56,-0.2,-0.07,-0.06,-0.06,-0.15,-0.12,-0.17,0.03,-0.3,-0.06,-0.22,0.11,0.12,-0.38,-0.07,0.57,-0.27,-0.15,-0.34,-0.32,-0.34,-0.12,-0.14,0.19,0.01,0.06,0.07,-0.2,-0.34,0.08,-0.06,0.01,0.16,-0.18,-0.23,-0.4,-0.23,0.18,-0.01,-0.27,-0.54,0.11,-0.22,-0.03,-0.09,-0.47,-0.22,0.03,0.16,-0.17,-0.67,0.3,0.19,,0.03,-0.17,-0.23,-0.18,0.59,-0.34,-0.06,-0.17,0.15,-0.25,-0.42,-0.3,0.41,-0.03,0.07,0.38,0.29,0.26,-0.27,-0.42,0.1,-0.62,GO0008094@GO0016586@GO0043044@GO0006368
-0.4,-0.38,-0.3,-0.23,-0.4,-0.17,-0.04,-0.25,-0.22,-0.29,-0.25,-0.01,-0.38,-0.42,-0.15,-0.1,-0.23,-0.01,0.7,0.04,-0.64,0.26,-0.15,-0.15,-0.09,-0.15,-0.18,0.11,0.07,0.06,-0.43,0.1,-0.47,-0.18,-0.15,0.34,0.1,0.03,-0.04,0.24,0.8,-0.14,-0.54,0.1,0.01,-0.1,-0.29,-0.07,-0.17,-0.45,-0.45,-0.38,-0.06,0.14,0.06,0.38,-0.17,-0.47,-0.17,0.06,0.14,-0.25,-0.36,0.07,-0.14,-0.04,-0.43,0.01,0.66,0.12,0.65,0.93,0.23,0.34,0.26,-0.09,-0.36,0.24,0.25,GO0005515@GO0000145@GO0005934@GO0007121@GO0006906@GO0006904@GO0000910@GO0006893
0.19,0.28,0.03,0.52,0.12,0.18,0.14,0.5,0.19,-0.04,0.07,0.1,0.06,-0.01,0.08,0.29,0.29,-0.06,0.14,-0.18,0.1,0.03,0.01,-0.07,-0.09,0.03,-0.23,-0.14,-0.12,-0.12,-0.06,-0.15,-0.36,0.7,-0.2,-0.17,-0.43,-0.25,0.52,1.71,0.03,-0.86,-0.56,0.21,-0.92,-0.23,-0.3,-0.1,0.16,0.45,0.21,-0.3,-0.09,-0.58,-0.15,-0.2,0.11,0.3,-0.15,-0.12,-0.22,0.42,-0.04,0.01,-0.3,-0.42,-0.27,-0.32,-0.29,0.25,0.1,0.28,-0.09,-0.34,0.32,-0.45,-0.54,0.31,-0.14,GO0016251@GO0005669@GO0005634@GO0006367@GO0000114
0.31,0.16,0.12,0.39,0.03,0.18,0.41,0.41,0.53,-0.17,-0.07,0.06,0.11,-0.03,0.2,-0.01,-0.07,-0.23,0.33,-0.14,-0.29,-0.14,-0.25,-0.67,-0.3,-0.47,-0.69,0.03,-0.42,-0.34,-0.54,-0.09,-0.62,0.58,-0.18,0.12,-0.64,0.28,-0.64,0.86,-0.09,-0.74,-0.36,0.33,-1.22,0.12,-0.47,0.12,,-0.29,-0.29,-0.54,-1.03,-0.56,0.04,-0.42,-0.03,0.33,-0.17,0.9,-0.17,-0.07,0.48,0.58,-0.6,-0.34,-0.47,0.01,-0.43,0.08,-0.07,0.11,,0.67,-0.32,-0.27,-0.81,0.11,0.26,GO0004672@GO0005816@GO0005935@GO0006468@GO0007096@GO0000910
0.25,0.39,0.03,0.07,0.34,-0.23,0.2,0.23,0.36,-0.23,0.57,-0.04,0.12,-0.17,0.65,,-0.29,-0.06,-0.6,-0.36,-0.36,0.12,-0.15,-0.27,-0.03,-0.22,-0.17,-0.07,-0.22,-0.45,-0.2,-0.45,-0.15,0.04,0.26,-0.04,-0.07,0.21,-0.04,0.01,0.32,-1.32,0.04,-0.1,-0.2,0.57,-0.2,-0.43,0.19,0.08,0.03,-0.06,,0.07,-0.04,-0.29,0.33,0.07,-0.14,0.2,0.19,0.25,0.08,-0.64,-0.81,-0.6,-0.54,-0.67,0.25,0.31,0.45,0.04,-0.09,-0.12,0.01,-0.23,-0.49,-0.29,-0.2,GO0003918@GO0005634@GO0005739@GO0000795@GO0006265@GO0007131@GO0006333@GO0006271@GO0000019
0.11,0.34,0.32,0.38,0.08,0.03,0.2,0.21,-0.01,-0.32,-0.06,0.03,-0.14,-0.07,-0.03,-0.07,-0.43,,-0.22,-0.06,-0.2,,0.3,0.12,-0.09,,-0.01,-0.14,-0.09,-0.15,-0.4,-0.1,0.06,0.65,0.5,0.37,0.39,0.64,0.48,0.33,0.78,0.5,0.19,0.39,0.15,-0.32,0.19,-0.38,-0.36,-0.14,0.39,0.38,0.61,-0.27,0.1,-0.01,-0.17,0.38,-0.3,0.58,,0.29,0.42,0.24,-0.43,-0.22,-0.36,-0.18,-0.03,0.58,1.12,0.46,-0.47,-0.18,-0.2,-0.29,-0.36,0.75,0.2,GO0005353@GO0005355@GO0015578@GO0005886@GO0008645
0.23,0.26,0.52,-0.1,0.14,-0.38,-0.01,-0.07,-0.07,0.16,0.04,0.18,-0.03,-0.14,-0.17,-0.14,-0.17,-0.12,0.24,-0.42,-0.29,-0.58,-0.29,-0.27,-0.2,-0.14,-0.25,-0.38,-0.17,0.31,-0.18,,0.43,0.62,0.21,-0.1,0.38,0.76,0.24,0.58,-0.36,0.6,0.14,0.33,0.88,0.37,0.24,-0.1,0.11,-0.49,-0.25,-0.17,-0.4,0.46,-0.22,,0.18,-0.54,0.11,0.61,0.24,0.38,-0.14,0.12,-0.89,-0.54,-0.97,-1.06,0.5,0.42,1.26,0.45,-0.34,-0.03,0.26,-0.3,-0.01,1.49,2.13,GO0005352@GO0005624@GO0000017
-0.17,-0.2,0.21,-0.3,-0.03,-0.27,-0.04,0.14,-0.38,-0.18,-0.49,-0.06,-0.1,-0.25,-0.54,-0.29,-0.32,-0.25,0.06,-0.34,-0.17,0.14,0.07,-0.49,-0.25,-0.62,-0.29,-0.64,-0.49,-0.32,-0.04,-0.06,-0.32,0.1,0.1,-0.38,-0.49,-0.49,-0.42,-0.71,-0.56,-0.34,-0.49,-0.29,-0.54,-0.42,-0.64,-0.03,0.96,-0.23,-0.2,0.41,1.36,1.6,,1.2,0.28,0.33,0.14,0.7,0.5,0.19,0.14,0.67,-0.71,-0.14,-0.69,-1.84,0.07,0.51,0.64,0.91,-1.6,-0.74,-0.01,-0.79,-0.34,0.56,0.23,GO0003988@GO0005782@GO0006635
-0.1,0.24,-0.14,-0.14,-0.22,0.1,0.1,-0.12,0.11,-0.09,0.21,0.04,,-0.18,-0.1,0.28,-0.22,0.03,-0.62,-0.17,0.15,0.42,0.5,0.32,0.1,0.29,0.14,-0.04,0.03,-0.04,0.08,-0.04,0.6,0.51,0.43,0.3,0.24,0.39,0.54,0.5,0.32,0.36,0.15,0.41,0.57,0.01,0.15,-0.14,-0.25,-0.69,-0.79,-0.76,-0.14,0.57,0.25,0.1,0.34,-0.17,0.03,-0.3,0.1,0.82,0.29,0.43,-0.22,-0.97,-0.32,-0.43,-0.25,0.43,0.28,0.82,-0.25,-0.22,-0.17,-0.29,-0.84,-0.06,0.12,GO0005515@GO0043224@GO0005634@GO0031146@GO0016567@GO0007049@GO0046686@GO0046685
