chip_affymetrix_chip,pp_number_of_probe_pairs,a_fy4_a,alpha_fy5_alpha,gal_gal,heat_heat,rel_alpha_fy5_alpha,rel_gal_gal,rel_heat_heat,avg_abund,median_deviation_of_log_fc_gal,sig_gal,sig_and_fc_gal,median_deviation_of_log_fc_fy5_alpha,sig_fy5_alpha,sig_and_fc_fy5_alpha,median_deviation_of_log_fc_heat,sig_heat,sig_and_fc_heat,thrshld_1=below_detection_fy4_a,thrshld_1=below_detection_fy5_alpha,thrshld_1=below_detection_gal,thrshld_1=below_detection_heat,thrshld_gal,thrshld_fy5_alpha,thrshld_heat,below_threshold_in_all_conditions,class
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004571@GO0005783@GO0030433@GO0006487
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0008320@GO0005634@GO0005737@GO0006606
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005515@GO0000778@GO0007059
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003714@GO0000417@GO0005634@GO0006336@GO0006368@GO0000083
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005634@GO0005737@GO0007124
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005737@GO0008150
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0009277@GO0015918
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0018456@GO0005575@GO0006081
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0035064@GO0003711@GO0005634@GO0000122
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005485@GO0000139@GO0006891
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004520@GO0005743@GO0006310
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003723@GO0005685@GO0000398
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0043141@GO0005658@GO0006273
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003677@GO0016563@GO0005634@GO0005789@GO0006631@GO0009409@GO0045944
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004842@GO0005515@GO0005680@GO0008054@GO0031145@GO0016567@GO0000022@GO0000070@GO0007091
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005739@GO0005741@GO0008150
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003677@GO0000228@GO0006281
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005200@GO0005821@GO0005823@GO0007020@GO0007103
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0019237@GO0000788@GO0000776@GO0000780@GO0005727@GO0030543@GO0000070
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004633@GO0017076@GO0005737@GO0015937@GO0009651
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0019237@GO0005634@GO0000778@GO0007059@GO0030472
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005099@GO0004871@GO0005622@GO0007120@GO0007121@GO0007264@GO0030447
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005575@GO0009060
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005634@GO0000398
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004672@GO0005940@GO0005935@GO0006468@GO0000086@GO0000078@GO0000135
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005657@GO0006271
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0008311@GO0017005@GO0003906@GO0005634@GO0005739@GO0006284@GO0000723
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005789@GO0006461@GO0007035
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0000324@GO0016192
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003729@GO0005737@GO0007534@GO0008298
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004243@GO0005739@GO0006627@GO0006879
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0030688@GO0005634@GO0031902@GO0005737@GO0006979@GO0042254@GO0042274@GO0006970@GO0000056
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0008419@GO0005634@GO0006401@GO0016074@GO0007124@GO0032197
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003924@GO0005525@GO0005047@GO0005785@GO0030176@GO0006614
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0008597@GO0005955@GO0019722
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004691@GO0005952@GO0005737@GO0006468@GO0007124@GO0043065
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0000139@GO0048193
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0042626@GO0005779@GO0015908
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005622@GO0005933@GO0043332@GO0000131@GO0000903@GO0007109@GO0045449@GO0008360
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0008599@GO0005634@GO0005737@GO0007059@GO0006605
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0016887@GO0005777@GO0007031
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.57,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0008190@GO0005845@GO0000723@GO0042493@GO0017148
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0000049@GO0008536@GO0005739@GO0016363@GO0006388@GO0006409
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005739@GO0017004@GO0006397@GO0048255
2,20,0.4,0.1,0.3,0.3,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0042626@GO0043332@GO0005887@GO0000770
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005737@GO0008150
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005840@GO0008150
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.56,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004652@GO0005847@GO0005654@GO0006378@GO0006406
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005498@GO0008142@GO0000300@GO0005625@GO0005737@GO0016125@GO0030469@GO0006897@GO0015918@GO0006887
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0008094@GO0016586@GO0043044@GO0006368
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005739@GO0000183@GO0048017@GO0007047
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004722@GO0005737@GO0000082
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003700@GO0005634@GO0006350@GO0006808
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005200@GO0042729@GO0000778@GO0005819@GO0005816@GO0005876@GO0007020@GO0030472@GO0031110
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005386@GO0005381@GO0005739@GO0008380@GO0048250
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003774@GO0005868@GO0005881@GO0000132@GO0030473@GO0000022@GO0000070
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003924@GO0004871@GO0005622@GO0007264@GO0030468@GO0007015
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0008466@GO0005575@GO0005978
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0000030@GO0005794@GO0000032@GO0006487
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005198@GO0005643@GO0006259@GO0006999@GO0050000@GO0006607@GO0006608@GO0006609@GO0006610@GO0006611@GO0006406@GO0006407@GO0006408@GO0006409
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003735@GO0005762@GO0005739@GO0006412@GO0000002
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0043021@GO0005635@GO0030529@GO0005654@GO0006606@GO0006406@GO0045449
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005840@GO0005634@GO0005737@GO0008150
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004843@GO0005575@GO0008150
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0043565@GO0003704@GO0005634@GO0000105@GO0009113@GO0007131@GO0006366
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003677@GO0003682@GO0005677@GO0030466@GO0006343
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0042626@GO0016020@GO0006810
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005575@GO0008150
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003729@GO0032473@GO0005737@GO0009060@GO0000288@GO0007005@GO0051646
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005088@GO0016020@GO0007265
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005519@GO0000133@GO0005934@GO0005935@GO0043332@GO0000131@GO0007121@GO0007266@GO0007015@GO0007124@GO0031384@GO0031385
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0016563@GO0005886@GO0008150
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0015075@GO0005783@GO0008150
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004364@GO0005739@GO0006749
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0000100@GO0005886@GO0015806
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005730@GO0042254@GO0042273
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0042162@GO0000783@GO0016233
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005486@GO0005801@GO0006906@GO0006888@GO0006890@GO0006891
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0016887@GO0003697@GO0000790@GO0006302@GO0000723
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003712@GO0017025@GO0000124@GO0005634@GO0000122@GO0045944
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0045182@GO0005739@GO0005743@GO0016021@GO0009060@GO0006412@GO0016070
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0016455@GO0000119@GO0006366
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0016887@GO0003682@GO0000799@GO0000070@GO0007076
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0030188@GO0005634@GO0005739@GO0000723
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0015116@GO0005886@GO0008272
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003700@GO0005634@GO0009063@GO0006355
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005515@GO0000785@GO0006260@GO0000398@GO0000354@GO0007049
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005515@GO0000813@GO0005768@GO0043162@GO0006612@GO0006623
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005737@GO0006878@GO0006879
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004657@GO0005739@GO0006537@GO0010133
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003729@GO0031202@GO0005682@GO0005685@GO0046540@GO0000243@GO0000398
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004730@GO0005739@GO0000154@GO0001522
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005515@GO0000145@GO0007121@GO0006906@GO0006904@GO0000910@GO0006893
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005739@GO0008150
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0030276@GO0030121@GO0006896
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0016566@GO0005634@GO0005737@GO0000077@GO0000122
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003713@GO0005634@GO0005737@GO0006350@GO0000083@GO0007126
2,20,0.4,0.1,0.3,0.3,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0015440@GO0005739@GO0005743@GO0006857
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0015631@GO0016272@GO0005737@GO0007021
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004601@GO0004392@GO0020037@GO0005783@GO0016020@GO0042167@GO0006879
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004842@GO0005789@GO0030433
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0016538@GO0005634@GO0005816@GO0005737@GO0000086@GO0000084@GO0000079
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003917@GO0031422@GO0005634@GO0007131@GO0007004@GO0000018
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003924@GO0005794@GO0006886@GO0042147
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003677@GO0003704@GO0005634@GO0006950@GO0045944
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004521@GO0003723@GO0005847@GO0006379@GO0006378
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004165@GO0005777@GO0006635
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003677@GO0005634@GO0000722@GO0006348@GO0000077
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003729@GO0005685@GO0000243@GO0000398
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004430@GO0005739@GO0005886@GO0006646@GO0046854@GO0000165@GO0048017@GO0030036@GO0007033@GO0009306
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0016976@GO0005575@GO0045116
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004099@GO0005631@GO0030476
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004099@GO0005631@GO0030476
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005519@GO0000133@GO0005934@GO0005935@GO0005937@GO0000131@GO0007121@GO0007266@GO0007015@GO0007124
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0005200@GO0005545@GO0000144@GO0005628@GO0005619@GO0001400@GO0007120@GO0000902@GO0007047@GO0000910
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004888@GO0005887@GO0000767@GO0007047@GO0006970@GO0001101
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005634@GO0005730@GO0018987
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005622@GO0030476@GO0030437
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003873@GO0005737@GO0006003@GO0006110
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0008094@GO0016586@GO0006303@GO0043044@GO0006368@GO0007062@GO0000723
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0051082@GO0005739@GO0005759@GO0006261@GO0006880
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004823@GO0003729@GO0005739@GO0006429@GO0000372
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0030915@GO0005634@GO0005739@GO0006281@GO0008283
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005737@GO0007117
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0008237@GO0016021@GO0007323@GO0006508
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003724@GO0030371@GO0005730@GO0005737@GO0006402@GO0043330@GO0006417
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003700@GO0005634@GO0005737@GO0006383@GO0042254@GO0008361
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0016299@GO0000814@GO0043162@GO0000433@GO0000723@GO0006623@GO0045053
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0043139@GO0003724@GO0008094@GO0008186@GO0003717@GO0005634@GO0006369@GO0006365@GO0008033@GO0016180@GO0043144
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004723@GO0005955@GO0005737@GO0007047@GO0006873@GO0000754
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003674@GO0005737@GO0007047
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0042162@GO0000783@GO0007004
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.57,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004722@GO0005634@GO0005737@GO0019897@GO0006883
2,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0000150@GO0000739@GO0005634@GO0000228@GO0000707@GO0000727@GO0045003@GO0045002@GO0006301@GO0000722
2,20,0.4,0.1,0.3,0.3,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0003876@GO0005737@GO0006163
2,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,1,5,5,5,1,GO0004092@GO0005739@GO0005777@GO0005782@GO0009437
